Temperature,L,R,A_M,Color,Spectral_Class
3068,0.0024,0.17,16.12,0,6
3042,0.0005,0.1542,16.6,0,6
2600,0.0003,0.102,18.7,0,6
2800,0.0002,0.16,16.65,0,6
1939,0.000138,0.103,20.06,0,6
2840,0.00065,0.11,16.98,0,6
2637,0.00073,0.127,17.22,0,6
2600,0.0004,0.096,17.4,0,6
2650,0.00069,0.11,17.45,0,6
2700,0.00018,0.13,16.05,0,6
3600,0.0029,0.51,10.69,0,6
3129,0.0122,0.3761,11.79,0,6
3134,0.0004,0.196,13.21,0,6
3628,0.0055,0.393,10.48,0,6
2650,0.0006,0.14,11.782,0,6
3340,0.0038,0.24,13.07,0,6
2799,0.0018,0.16,14.79,0,6
3692,0.00367,0.47,10.8,0,6
3192,0.00362,0.1967,13.53,0,6
3441,0.039,0.351,11.18,0,6
25000,0.056,0.0084,10.58,10,1
7740,0.00049,0.01234,14.02,9,2
7220,0.00017,0.011,14.23,9,3
8500,0.0005,0.01,14.5,9,2
16500,0.013,0.014,11.89,10,1
12990,8.5e-05,0.00984,12.23,7,3
8570,0.00081,0.0097,14.2,10,2
7700,0.00011,0.0128,14.47,7,3
11790,0.00015,0.011,12.59,7,3
7230,8e-05,0.013,14.08,3,3
39000,204000.0,10.6,-4.7,11,0
30000,28840.0,6.3,-4.2,10,1
15276,1136.0,7.2,-1.97,10,1
9700,74.0,2.89,0.16,6,1
5800,0.81,0.9,5.05,5,3
8052,8.7,1.8,2.42,6,2
6757,1.43,1.12,2.41,5,3
6380,1.35,0.98,2.93,5,3
5936,1.357,1.106,4.46,5,3
5587,0.819,0.99,5.03,5,3
3826,200000.0,19.0,-6.93,0,6
3365,340000.0,23.0,-6.2,0,6
3270,150000.0,88.0,-6.02,0,6
3200,195000.0,17.0,-7.22,0,6
3008,280000.0,25.0,-6.0,0,6
3600,320000.0,29.0,-6.6,0,6
3575,123000.0,45.0,-6.78,0,6
3574,200000.0,89.0,-5.24,0,6
3625,184000.0,84.0,-6.74,0,6
33750,220000.0,26.0,-6.1,11,1
3490,270000.0,1520.0,-9.4,0,6
3750,283000.0,1260.0,-7.63,0,6
3834,272000.0,1183.0,-9.2,0,6
3749,550000.0,1648.0,-8.05,2,6
3650,310000.0,1324.0,-7.79,0,6
3450,263000.0,1349.0,-11.75,0,6
3660,363000.0,1673.0,-11.92,0,6
3450,174000.0,1284.0,-11.28,0,6
3752,209000.0,955.0,-11.24,0,6
3535,195000.0,1546.0,-11.36,0,6
3341,0.0056,0.057,16.23,0,6
3432,0.00067,0.19,16.94,0,6
2983,0.00024,0.094,16.09,0,6
2835,0.00034,0.0918,16.96,0,6
2935,0.00014,0.116,18.89,0,6
3295,0.00098,0.132,17.13,0,6
2945,0.00032,0.093,18.34,0,6
2817,0.00098,0.0911,16.45,0,6
2774,0.00036,0.118,17.39,0,6
2871,0.00072,0.12,19.43,0,6
3345,0.021,0.273,12.3,0,6
3607,0.022,0.38,10.12,0,6
3304,0.0085,0.18,13.2,0,6
3150,0.0088,0.35,11.94,0,6
3550,0.004,0.291,10.89,0,6
3180,0.001,0.35,11.76,0,6
2890,0.0034,0.24,13.46,0,6
3342,0.0015,0.307,11.87,0,6
2621,0.0006,0.098,12.81,0,6
3158,0.00135,0.161,13.98,0,6
7100,0.00029,0.012,14.09,8,3
10574,0.00014,0.0092,12.02,9,3
8930,0.00056,0.0095,13.78,9,2
17200,0.00098,0.015,12.45,10,1
14100,0.00067,0.0089,12.17,10,1
9675,0.00045,0.0109,13.98,10,2
12010,0.00078,0.0092,12.13,10,1
10980,0.00074,0.0087,11.19,10,1
13720,0.00018,0.00892,12.97,9,3
19860,0.0011,0.0131,11.34,11,1
5300,0.59,0.91,5.49,5,3
4526,0.153,0.865,6.506,4,5
4077,0.085,0.795,6.228,4,5
4980,0.357,1.13,4.78,4,5
9030,45.0,2.63,1.45,10,2
11250,672.0,6.98,-2.3,10,2
5112,0.63,0.876,4.68,1,5
7720,7.92,1.34,2.44,5,3
12098,689.0,7.01,0.02,10,2
36108,198000.0,10.2,-4.4,11,0
33300,240000.0,12.0,-6.5,11,1
40000,813000.0,14.0,-6.23,11,0
23000,127000.0,36.0,-5.76,11,0
17120,235000.0,83.0,-6.89,11,0
11096,112000.0,12.0,-5.91,11,0
14245,231000.0,42.0,-6.12,11,0
24630,363000.0,63.0,-5.83,11,0
12893,184000.0,36.0,-6.34,11,0
24345,142000.0,57.0,-6.24,11,0
33421,352000.0,67.0,-5.79,11,0
3459,100000.0,1289.0,-10.7,0,6
3605,126000.0,1124.0,-10.81,0,6
3615,200000.0,1635.0,-11.33,0,6
3399,117000.0,1486.0,-10.92,0,6
3610,132000.0,1522.0,-10.86,0,6
3553,145000.0,1324.0,-11.03,0,6
4015,282000.0,1534.0,-11.39,0,5
3625,74000.0,876.0,-10.25,0,6
6850,229000.0,1467.0,-10.07,0,4
3780,200000.0,1324.0,-10.7,0,6
3323,0.00043,0.0912,17.16,0,6
3531,0.00093,0.0976,19.94,0,6
3218,0.00054,0.11,20.02,0,6
3146,0.00015,0.0932,16.92,0,6
3511,0.00064,0.109,17.12,0,6
3225,0.00076,0.121,19.63,0,6
2935,0.00087,0.0932,16.88,0,6
2861,0.00019,0.0899,16.71,0,6
2856,0.000896,0.0782,19.56,0,6
2731,0.000437,0.0856,18.09,0,6
3095,0.00019,0.492,10.87,0,6
3607,0.00023,0.38,10.34,0,6
3100,0.008,0.31,11.17,0,6
2989,0.0087,0.34,13.12,0,6
3542,0.0009,0.62,14.23,0,6
3243,0.0023,0.73,14.75,0,6
3091,0.0081,0.24,11.43,0,6
3598,0.0011,0.56,14.26,0,6
3324,0.0034,0.34,12.23,0,6
3541,0.0013,0.256,14.33,0,6
13420,0.00059,0.00981,13.67,10,1
21020,0.0015,0.0112,11.52,11,1
18290,0.0013,0.00934,12.78,11,1
14520,0.00082,0.00972,11.92,10,1
11900,0.00067,0.00898,11.38,10,1
8924,0.00028,0.00879,14.87,10,2
12912,0.00071,0.00945,12.83,10,1
14732,0.00011,0.00892,12.89,9,3
7723,0.00014,0.00878,14.81,9,2
12984,0.00088,0.00996,11.23,10,1
29560,188000.0,6.02,-4.01,10,1
8945,38.0,2.487,0.12,10,2
14060,1092.0,5.745,-2.04,10,2
16390,1278.0,5.68,-3.32,10,1
25070,14500.0,5.92,-3.98,10,1
28700,16790.0,6.4,-4.09,10,1
26140,14520.0,5.49,-3.8,10,1
20120,4720.0,6.78,-3.4,10,1
13023,998.0,6.21,-1.38,10,2
37800,202900.0,6.86,-4.56,11,0
25390,223000.0,57.0,-5.92,11,0
11567,251000.0,36.0,-6.245,11,0
12675,452000.0,83.0,-5.62,11,0
5752,245000.0,97.0,-6.63,11,0
8927,239000.0,35.0,-7.34,11,0
7282,131000.0,24.0,-7.22,11,0
19923,152000.0,73.0,-5.69,11,0
26373,198000.0,39.0,-5.83,11,0
17383,342900.0,30.0,-6.09,11,0
9373,424520.0,24.0,-5.99,11,0
3570,320000.0,1480.0,-7.58,0,6
3500,138000.0,1420.0,-8.18,0,6
4287,630000.0,1315.0,-9.2,2,5
26000,316000.0,1679.0,-9.1,11,1
3600,240000.0,1190.0,-7.89,0,6
3614,145000.0,1553.0,-7.71,0,6
18000,200000.0,1045.0,-8.3,11,0
11000,170000.0,1779.0,-9.9,10,1
12100,120000.0,708.9,-7.84,10,1
24490,248490.0,1134.5,-8.24,10,1
2831,0.000231,0.0915,16.21,0,6
2914,0.000631,0.116,18.39,0,6
3419,0.000245,0.126,17.56,0,6
3218,0.000452,0.0987,17.34,0,6
3453,0.000621,0.0773,17.08,0,6
2889,0.000352,0.0973,16.93,0,6
2968,0.000461,0.119,17.45,0,6
3484,0.000551,0.0998,16.67,0,6
2778,0.000849,0.112,19.45,0,6
3523,0.000957,0.129,16.35,0,6
3462,0.0053,0.148,11.47,0,6
3257,0.0024,0.46,10.73,0,6
2994,0.0072,0.28,13.45,0,6
3212,0.0016,0.378,12.854,0,6
3523,0.0054,0.319,12.43,0,6
3598,0.0027,0.67,13.667,0,6
3142,0.00132,0.258,14.12,0,6
3496,0.00125,0.336,14.94,0,6
3324,0.0065,0.471,12.78,0,6
3463,0.0027,0.675,14.776,0,6
16790,0.0014,0.0121,12.87,11,1
15680,0.00122,0.0114,11.92,11,1
14982,0.00118,0.0113,12.23,11,1
13340,0.00109,0.0116,12.9,11,1
18340,0.00134,0.0124,11.22,11,1
19920,0.00156,0.0142,11.34,11,1
24020,0.00159,0.0127,10.55,11,1
23092,0.00132,0.0104,10.18,11,1
17920,0.00111,0.0106,11.66,11,1
19360,0.00125,0.00998,11.62,11,1
22350,12450.0,6.36,-3.67,10,1
10012,552.0,5.856,0.013,10,2
13089,788.0,5.992,-0.12,10,2
